sim_id,N,M,k,theta1,pa,theta2,pb
107,5000,15000,14,0.05,0.99,0.025,0.05
108,5000,15000,14,0.05,0.99,0.025,0.1
109,5000,15000,14,0.05,0.99,0.025,0.15
110,5000,15000,14,0.05,0.99,0.025,0.2
111,5000,15000,14,0.05,0.99,0.05,0.01
112,5000,15000,14,0.05,0.99,0.05,0.05
113,5000,15000,14,0.05,0.99,0.05,0.1
114,5000,15000,14,0.05,0.99,0.05,0.15
115,5000,15000,14,0.05,0.99,0.05,0.2
116,5000,15000,14,0.05,0.99,0.075,0.01
117,5000,15000,14,0.05,0.99,0.075,0.05
118,5000,15000,14,0.05,0.99,0.075,0.1
119,5000,15000,14,0.05,0.99,0.075,0.15
120,5000,15000,14,0.05,0.99,0.075,0.2
121,5000,15000,14,0.05,0.99,0.1,0.01
122,5000,15000,14,0.05,0.99,0.1,0.05
123,5000,15000,14,0.05,0.99,0.1,0.1
124,5000,15000,14,0.05,0.99,0.1,0.15
125,5000,15000,14,0.05,0.99,0.1,0.2
126,5000,15000,14,0.1,0.8,0.01,0.01
127,5000,15000,14,0.1,0.8,0.01,0.05
128,5000,15000,14,0.1,0.8,0.01,0.1
129,5000,15000,14,0.1,0.8,0.01,0.15
130,5000,15000,14,0.1,0.8,0.01,0.2
131,5000,15000,14,0.1,0.8,0.025,0.01
132,5000,15000,14,0.1,0.8,0.025,0.05
133,5000,15000,14,0.1,0.8,0.025,0.1
134,5000,15000,14,0.1,0.8,0.025,0.15
135,5000,15000,14,0.1,0.8,0.025,0.2
136,5000,15000,14,0.1,0.8,0.05,0.01
137,5000,15000,14,0.1,0.8,0.05,0.05
138,5000,15000,14,0.1,0.8,0.05,0.1
139,5000,15000,14,0.1,0.8,0.05,0.15
140,5000,15000,14,0.1,0.8,0.05,0.2
141,5000,15000,14,0.1,0.8,0.075,0.01
142,5000,15000,14,0.1,0.8,0.075,0.05
143,5000,15000,14,0.1,0.8,0.075,0.1
144,5000,15000,14,0.1,0.8,0.075,0.15
145,5000,15000,14,0.1,0.8,0.075,0.2
146,5000,15000,14,0.1,0.8,0.1,0.01
147,5000,15000,14,0.1,0.8,0.1,0.05
148,5000,15000,14,0.1,0.8,0.1,0.1
149,5000,15000,14,0.1,0.8,0.1,0.15
150,5000,15000,14,0.1,0.8,0.1,0.2
151,5000,15000,14,0.1,0.85,0.01,0.01
152,5000,15000,14,0.1,0.85,0.01,0.05
153,5000,15000,14,0.1,0.85,0.01,0.1
154,5000,15000,14,0.1,0.85,0.01,0.15
155,5000,15000,14,0.1,0.85,0.01,0.2
156,5000,15000,14,0.1,0.85,0.025,0.01
157,5000,15000,14,0.1,0.85,0.025,0.05
158,5000,15000,14,0.1,0.85,0.025,0.1
159,5000,15000,14,0.1,0.85,0.025,0.15
160,5000,15000,14,0.1,0.85,0.025,0.2
161,5000,15000,14,0.1,0.85,0.05,0.01
162,5000,15000,14,0.1,0.85,0.05,0.05
163,5000,15000,14,0.1,0.85,0.05,0.1
164,5000,15000,14,0.1,0.85,0.05,0.15
165,5000,15000,14,0.1,0.85,0.05,0.2
166,5000,15000,14,0.1,0.85,0.075,0.01
167,5000,15000,14,0.1,0.85,0.075,0.05
168,5000,15000,14,0.1,0.85,0.075,0.1
169,5000,15000,14,0.1,0.85,0.075,0.15
170,5000,15000,14,0.1,0.85,0.075,0.2
171,5000,15000,14,0.1,0.85,0.1,0.01
172,5000,15000,14,0.1,0.85,0.1,0.05
173,5000,15000,14,0.1,0.85,0.1,0.1
174,5000,15000,14,0.1,0.85,0.1,0.15
175,5000,15000,14,0.1,0.85,0.1,0.2
176,5000,15000,14,0.1,0.9,0.01,0.01
177,5000,15000,14,0.1,0.9,0.01,0.05
178,5000,15000,14,0.1,0.9,0.01,0.1
179,5000,15000,14,0.1,0.9,0.01,0.15
180,5000,15000,14,0.1,0.9,0.01,0.2
181,5000,15000,14,0.1,0.9,0.025,0.01
182,5000,15000,14,0.1,0.9,0.025,0.05
183,5000,15000,14,0.1,0.9,0.025,0.1
184,5000,15000,14,0.1,0.9,0.025,0.15
185,5000,15000,14,0.1,0.9,0.025,0.2
186,5000,15000,14,0.1,0.9,0.05,0.01
187,5000,15000,14,0.1,0.9,0.05,0.05
188,5000,15000,14,0.1,0.9,0.05,0.1
189,5000,15000,14,0.1,0.9,0.05,0.15
190,5000,15000,14,0.1,0.9,0.05,0.2
191,5000,15000,14,0.1,0.9,0.075,0.01
192,5000,15000,14,0.1,0.9,0.075,0.05
193,5000,15000,14,0.1,0.9,0.075,0.1
194,5000,15000,14,0.1,0.9,0.075,0.15
195,5000,15000,14,0.1,0.9,0.075,0.2
196,5000,15000,14,0.1,0.9,0.1,0.01
197,5000,15000,14,0.1,0.9,0.1,0.05
198,5000,15000,14,0.1,0.9,0.1,0.1
199,5000,15000,14,0.1,0.9,0.1,0.15
200,5000,15000,14,0.1,0.9,0.1,0.2
201,5000,15000,14,0.1,0.95,0.01,0.01
202,5000,15000,14,0.1,0.95,0.01,0.05
203,5000,15000,14,0.1,0.95,0.01,0.1
204,5000,15000,14,0.1,0.95,0.01,0.15
205,5000,15000,14,0.1,0.95,0.01,0.2
206,5000,15000,14,0.1,0.95,0.025,0.01
207,5000,15000,14,0.1,0.95,0.025,0.05
208,5000,15000,14,0.1,0.95,0.025,0.1
209,5000,15000,14,0.1,0.95,0.025,0.15
210,5000,15000,14,0.1,0.95,0.025,0.2
211,5000,15000,14,0.1,0.95,0.05,0.01
212,5000,15000,14,0.1,0.95,0.05,0.05
213,5000,15000,14,0.1,0.95,0.05,0.1
214,5000,15000,14,0.1,0.95,0.05,0.15
215,5000,15000,14,0.1,0.95,0.05,0.2
216,5000,15000,14,0.1,0.95,0.075,0.01
217,5000,15000,14,0.1,0.95,0.075,0.05
218,5000,15000,14,0.1,0.95,0.075,0.1
219,5000,15000,14,0.1,0.95,0.075,0.15
220,5000,15000,14,0.1,0.95,0.075,0.2
221,5000,15000,14,0.1,0.95,0.1,0.01
222,5000,15000,14,0.1,0.95,0.1,0.05
223,5000,15000,14,0.1,0.95,0.1,0.1
224,5000,15000,14,0.1,0.95,0.1,0.15
225,5000,15000,14,0.1,0.95,0.1,0.2
226,5000,15000,14,0.1,0.99,0.01,0.01
227,5000,15000,14,0.1,0.99,0.01,0.05
228,5000,15000,14,0.1,0.99,0.01,0.1
229,5000,15000,14,0.1,0.99,0.01,0.15
230,5000,15000,14,0.1,0.99,0.01,0.2
231,5000,15000,14,0.1,0.99,0.025,0.01
232,5000,15000,14,0.1,0.99,0.025,0.05
233,5000,15000,14,0.1,0.99,0.025,0.1
234,5000,15000,14,0.1,0.99,0.025,0.15
235,5000,15000,14,0.1,0.99,0.025,0.2
236,5000,15000,14,0.1,0.99,0.05,0.01
237,5000,15000,14,0.1,0.99,0.05,0.05
238,5000,15000,14,0.1,0.99,0.05,0.1
