sim_id,N,M,k,theta1,pa,theta2,pb
534,5000,15000,14,0.25,0.85,0.025,0.15
535,5000,15000,14,0.25,0.85,0.025,0.2
536,5000,15000,14,0.25,0.85,0.05,0.01
537,5000,15000,14,0.25,0.85,0.05,0.05
538,5000,15000,14,0.25,0.85,0.05,0.1
539,5000,15000,14,0.25,0.85,0.05,0.15
540,5000,15000,14,0.25,0.85,0.05,0.2
541,5000,15000,14,0.25,0.85,0.075,0.01
542,5000,15000,14,0.25,0.85,0.075,0.05
543,5000,15000,14,0.25,0.85,0.075,0.1
544,5000,15000,14,0.25,0.85,0.075,0.15
545,5000,15000,14,0.25,0.85,0.075,0.2
546,5000,15000,14,0.25,0.85,0.1,0.01
547,5000,15000,14,0.25,0.85,0.1,0.05
548,5000,15000,14,0.25,0.85,0.1,0.1
549,5000,15000,14,0.25,0.85,0.1,0.15
550,5000,15000,14,0.25,0.85,0.1,0.2
551,5000,15000,14,0.25,0.9,0.01,0.01
552,5000,15000,14,0.25,0.9,0.01,0.05
553,5000,15000,14,0.25,0.9,0.01,0.1
554,5000,15000,14,0.25,0.9,0.01,0.15
555,5000,15000,14,0.25,0.9,0.01,0.2
556,5000,15000,14,0.25,0.9,0.025,0.01
557,5000,15000,14,0.25,0.9,0.025,0.05
558,5000,15000,14,0.25,0.9,0.025,0.1
559,5000,15000,14,0.25,0.9,0.025,0.15
560,5000,15000,14,0.25,0.9,0.025,0.2
561,5000,15000,14,0.25,0.9,0.05,0.01
562,5000,15000,14,0.25,0.9,0.05,0.05
563,5000,15000,14,0.25,0.9,0.05,0.1
564,5000,15000,14,0.25,0.9,0.05,0.15
565,5000,15000,14,0.25,0.9,0.05,0.2
566,5000,15000,14,0.25,0.9,0.075,0.01
567,5000,15000,14,0.25,0.9,0.075,0.05
568,5000,15000,14,0.25,0.9,0.075,0.1
569,5000,15000,14,0.25,0.9,0.075,0.15
570,5000,15000,14,0.25,0.9,0.075,0.2
571,5000,15000,14,0.25,0.9,0.1,0.01
572,5000,15000,14,0.25,0.9,0.1,0.05
573,5000,15000,14,0.25,0.9,0.1,0.1
574,5000,15000,14,0.25,0.9,0.1,0.15
575,5000,15000,14,0.25,0.9,0.1,0.2
576,5000,15000,14,0.25,0.95,0.01,0.01
577,5000,15000,14,0.25,0.95,0.01,0.05
578,5000,15000,14,0.25,0.95,0.01,0.1
579,5000,15000,14,0.25,0.95,0.01,0.15
580,5000,15000,14,0.25,0.95,0.01,0.2
581,5000,15000,14,0.25,0.95,0.025,0.01
582,5000,15000,14,0.25,0.95,0.025,0.05
583,5000,15000,14,0.25,0.95,0.025,0.1
584,5000,15000,14,0.25,0.95,0.025,0.15
585,5000,15000,14,0.25,0.95,0.025,0.2
586,5000,15000,14,0.25,0.95,0.05,0.01
587,5000,15000,14,0.25,0.95,0.05,0.05
588,5000,15000,14,0.25,0.95,0.05,0.1
589,5000,15000,14,0.25,0.95,0.05,0.15
590,5000,15000,14,0.25,0.95,0.05,0.2
591,5000,15000,14,0.25,0.95,0.075,0.01
592,5000,15000,14,0.25,0.95,0.075,0.05
593,5000,15000,14,0.25,0.95,0.075,0.1
594,5000,15000,14,0.25,0.95,0.075,0.15
595,5000,15000,14,0.25,0.95,0.075,0.2
596,5000,15000,14,0.25,0.95,0.1,0.01
597,5000,15000,14,0.25,0.95,0.1,0.05
598,5000,15000,14,0.25,0.95,0.1,0.1
599,5000,15000,14,0.25,0.95,0.1,0.15
600,5000,15000,14,0.25,0.95,0.1,0.2
601,5000,15000,14,0.25,0.99,0.01,0.01
602,5000,15000,14,0.25,0.99,0.01,0.05
603,5000,15000,14,0.25,0.99,0.01,0.1
604,5000,15000,14,0.25,0.99,0.01,0.15
605,5000,15000,14,0.25,0.99,0.01,0.2
606,5000,15000,14,0.25,0.99,0.025,0.01
607,5000,15000,14,0.25,0.99,0.025,0.05
608,5000,15000,14,0.25,0.99,0.025,0.1
609,5000,15000,14,0.25,0.99,0.025,0.15
610,5000,15000,14,0.25,0.99,0.025,0.2
611,5000,15000,14,0.25,0.99,0.05,0.01
612,5000,15000,14,0.25,0.99,0.05,0.05
613,5000,15000,14,0.25,0.99,0.05,0.1
614,5000,15000,14,0.25,0.99,0.05,0.15
615,5000,15000,14,0.25,0.99,0.05,0.2
616,5000,15000,14,0.25,0.99,0.075,0.01
617,5000,15000,14,0.25,0.99,0.075,0.05
618,5000,15000,14,0.25,0.99,0.075,0.1
619,5000,15000,14,0.25,0.99,0.075,0.15
620,5000,15000,14,0.25,0.99,0.075,0.2
621,5000,15000,14,0.25,0.99,0.1,0.01
622,5000,15000,14,0.25,0.99,0.1,0.05
623,5000,15000,14,0.25,0.99,0.1,0.1
624,5000,15000,14,0.25,0.99,0.1,0.15
625,5000,15000,14,0.25,0.99,0.1,0.2
